site	species	sex	tail	body	total	foot	ear
NVP	deermouse	M	78	92	170	20	11
NVP	deermouse	F	65	83	148	20	12
NVP	deermouse	M	64	76	140	22	11
NVP	deermouse	F	77	96	173	22	13
NVP	deermouse	M	78	104	182	20	11
NVP	deermouse	M	69	87	156	22	11
NVP	deermouse	M	60	68	128	20	12
NVP	deermouse	F	72	80	152	20	11
NVP	deermouse	M	72	102	174	18	12
NVP	deermouse	M	57	74	131	18	11
NVP	deermouse	F	76	99	175	24	11
NVP	deermouse	F	70	84	154	19	13
NVP	deermouse	M	80	92	172	19	12
NVP	deermouse	M	78	98	176	22	14
NVP	deermouse	F	92	98	190	21	14
NVP	deermouse	F	96	96	192	21	11
NVP	deermouse	F	66	77	143	20	12
NVP	deermouse	M	70	96	166	20	15
NVP	deermouse	M	74	89	163	18	10
NVP	deermouse	M	60	75	135	20	9
NVP	deermouse	F	70	87	157	19	11
NVP	deermouse	F	75	86	161	20	10
NVP	deermouse	M	69	103	172	17	12
NVP	deermouse	F	75	98	173	20	12
NVP	deermouse	M	72	89	161	22	11
NVP	deermouse	M	77	88	165	21	13
NVP	deermouse	M	79	93	172	21	12
NVP	deermouse	F	79	104	183	19	14
NVP	deermouse	M	80	101	181	22	12
NVP	deermouse	M	65	76	141	19	14
NVP	deermouse	M	71	100	171	22	10
NVP	deermouse	M	64	46	110	14	8
NVP	deermouse	M	82	93	175	20	15
NVP	deermouse	M	73	86	159	21	11
NVP	deermouse	M	64	86	150	19	11
NVP	deermouse	M	70	86	156	20	13
NVP	deermouse	M	72	62	134	21	16
NVP	deermouse	M	35	66	101	19	12
NVP	deermouse	M	66	44	110	17	7
NVP	deermouse	M	71	86	157	20	12
NVP	deermouse	M	71	95	166	20	10
NVP	deermouse	M	83	94	177	20	10
NVP	deermouse	F	54	54	108	19	10
NVP	deermouse	M	85	98	183	15	12
NVP	deermouse	M	82	101	183	19	13
NVP	deermouse	F	67	94	161	22	13
NVP	deermouse	M	70	95	165	21	11
NVP	deermouse	M	66	76	142	20	10
NVP	deermouse	F	75	95	170	21	12
NVP	deermouse	M	70	76	146	16	12
NVP	deermouse	M	76	91	167	21	12
NVP	deermouse	F	74	89	163	16	12
NVP	deermouse	M	66	86	152	21	13
NVP	deermouse	F	71	95	166	20	12
NVP	deermouse	F	75	97	172	21	11
NVP	deermouse	F	86	102	188	21	13
NVP	deermouse	F	84	102	186	22	13
NVP	deermouse	M	71	102	173	20	13
NVP	deermouse	U	70	85	155	20	11
NVP	deermouse	F	84	96	180	20	11
NVP	deermouse	F	80	102	182	21	16
NVP	deermouse	F	66	94	160	19	8
NVP	deermouse	F	77	90	167	19	15
NVP	deermouse	F	75	92	167	20	13
NVP	deermouse	M	76	96	172	18	12
NVP	deermouse	F	78	98	176	22	11
NVP	deermouse	F	60	74	134	19	12
NVP	deermouse	M	77	95	172	20	13
NVP	deermouse	F	65	76	141	17	11
NVP	deermouse	F	72	93	165	21	15
NVP	deermouse	M	75	97	172	21	14
NVP	deermouse	F	69	90	159	19	12
NVP	deermouse	F	69	86	155	21	11
NVP	deermouse	F	64	79	143	20	13
NVP	deermouse	F	75	82	157	19	10
NVP	deermouse	F	70	88	158	19	12
NVP	deermouse	F	68	91	159	19	12
NVP	deermouse	M	72	99	171	21	12
NVP	deermouse	M	76	81	157	21	11
NVP	deermouse	M	74	98	172	20	13
NVP	deermouse	M	82	91	173	21	11
NVP	deermouse	F	73	82	155	18	13
NVP	deermouse	F	71	84	155	19	12
NVP	deermouse	M	67	98	165	19	11
NVP	deermouse	F	77	100	177	20	15
NVP	deermouse	M	70	81	151	18	12
NVP	deermouse	F	71	86	157	21	12
NVP	deermouse	F	82	102	184	19	11
NVP	deermouse	M	72	100	172	20	13
NVP	deermouse	M	65	77	142	20	12
NVP	deermouse	M	70	78	148	18	12
NVP	deermouse	F	73	78	151	18	11
NVP	deermouse	M	69	83	152	20	14
NVP	deermouse	M	82	88	170	20	13
NVP	deermouse	F	76	104	180	20	13
NVP	deermouse	M	80	101	181	21	15
NVP	deermouse	F	65	83	148	19	12
NVP	deermouse	M	78	87	165	20	12
NVP	deermouse	F	54	77	131	17	12
NVP	deermouse	M	81	107	188	22	13
NVP	deermouse	M	69	82	151	21	12
NVP	deermouse	M	72	92	164	19	13
NVP	deermouse	F	74	65	139	20	13
NVP	deermouse	M	74	96	170	19	12
NVP	deermouse	M	77	92	169	22	14
NVP	deermouse	F	79	88	167	19	12
NVP	deermouse	M	78	98	176	20	12
NVP	deermouse	M	70	73	143	20	15
NVP	deermouse	F	70	80	150	20	13
NVP	deermouse	M	50	80	130	20	15
NVP	deermouse	F	80	70	150	20	10
NVP	deermouse	M	69	90	159	22	15
NVP	deermouse	M	73	83	156	22	13
NVP	deermouse	F	80	95	175	21	17
NVP	deermouse	F	61	90	151	20	14
NVP	deermouse	M	66	85	151	12	20
NVP	deermouse	M	70	95	165	20	14
NVP	deermouse	M	65	70	135	17	11
NVP	deermouse	M	60	50	110	15	8
NVP	deermouse	M	60	60	120	15	10
NVP	deermouse	M	60	60	120	15	8
NVP	deermouse	F	60	70	130	16	13
NVP	deermouse	F	40	70	110	20	13
NVP	deermouse	F	50	70	120	20	10
NVP	deermouse	M	58	60	118	18	12
NVP	deermouse	M	70	70	140	20	15
NVP	deermouse	F	55	70	125	20	12
NVP	deermouse	M	65	100	165	20	15
NVP	deermouse	M	70	80	150	21	12
NVP	deermouse	F	75	80	155	20	12
NVP	deermouse	M	78	100	178	22	16
NVP	deermouse	M	65	85	150	22	13
NVP	deermouse	F	61	70	131	16	11
NVP	deermouse	M	65	80	145	12	19
NVP	deermouse	M	60	75	135	20	14
NVP	deermouse	M	75	70	145	20	15
NVP	deermouse	M	70	105	175	23	13
NVP	deermouse	F	80	100	180	21	15
NVP	deermouse	M	76	95	171	22	16
NVP	deermouse	F	75	95	170	20	15
NVP	deermouse	F	24	52	76	20	13
NVP	deermouse	M	75	60	135	23	15
NVP	deermouse	F	70	95	165	22	15
NVP	deermouse	F	60	60	120	15	11
NVP	deermouse	F	80	95	175	20	12
NVP	deermouse	M	80	95	175	20	15
NVP	deermouse	M	65	80	145	19	15
NVP	deermouse	F	55	70	125	20	14
NVP	deermouse	M	70	74	144	20	11
NVP	deermouse	M	70	85	155	20	14
NVP	deermouse	M	70	90	160	20	12
NVP	deermouse	M	60	75	135	22	12
NVP	deermouse	M	65	80	145	20	14
NVP	deermouse	M	80	90	170	20	12
NVP	deermouse	F	70	95	165	20	14
NVP	deermouse	F	80	90	170	20	13
NVP	deermouse	M	70	85	155	21	12
NVP	deermouse	M	75	90	165	21	14
NVP	deermouse	M	70	90	160	20	14
NVP	deermouse	M	88	105	193	20	15
NVP	deermouse	F	64	80	144	20	12
NVP	deermouse	M	64	90	154	20	14
NVP	deermouse	F	63	95	158	24	15
NVP	deermouse	F	68	100	168	20	13
NVP	deermouse	M	75	85	160	20	15
NVP	deermouse	F	75	90	165	21	12
NVP	deermouse	M	90	85	175	21	12
NVP	deermouse	M	66	77	143	19	12
NVP	deermouse	F	65	77	142	22	14
NVP	deermouse	F	85	90	175	22	15
NVP	deermouse	M	76	95	171	21	17
NVP	deermouse	F	75	97	172	20	12
NVP	deermouse	F	70	95	165	7	22
NVP	deermouse	M	58	75	133	16	12
NVP	deermouse	M	75	93	168	22	15
NVP	deermouse	F	85	102	187	21	16
NVP	deermouse	F	60	70	130	20	13
NVP	deermouse	M	72	83	155	20	14
NVP	deermouse	M	67	85	152	20	11
NVP	deermouse	F	84	98	182	21	15
NVP	deermouse	F	76	100	176	20	13
NVP	deermouse	F	67	90	157	21	13
NVP	deermouse	M	72	90	162	20	15
NVP	deermouse	M	70	80	150	20	14
NVP	deermouse	M	70	94	164	20	14
NVP	deermouse	F	74	93	167	21	15
NVP	deermouse	M	70	80	150	21	16
NVP	deermouse	M	78	85	163	21	14
NVP	deermouse	F	74	95	169	21	15
NVP	deermouse	M	70	88	158	20	14
NVP	deermouse	M	79	98	177	22	16
NVP	deermouse	F	60	90	150	20	12
NVP	deermouse	M	80	93	173	22	15
NVP	deermouse	F	78	95	173	21	16
NVP	deermouse	F	70	90	160	22	13
NVP	deermouse	M	72	92	164	21	15
NVP	deermouse	M	70	85	155	20	12
NVP	deermouse	M	65	80	145	20	15
NVP	deermouse	M	65	70	135	20	15
NVP	deermouse	F	70	90	160	20	12
NVP	deermouse	F	16	135	151	21	14
NVP	deermouse	M	74	95	169	20	14
NVP	deermouse	F	70	100	170	21	14
NVP	deermouse	M	84	110	194	20	16
NVP	deermouse	M	70	90	160	20	13
NVP	deermouse	F	80	95	175	20	15
NVP	deermouse	M	80	105	185	20	15
NVP	deermouse	M	75	90	165	20	15
NVP	deermouse	F	70	87	157	22	14
NVP	deermouse	M	80	100	180	20	15
NVP	deermouse	F	63	80	143	20	12
NVP	deermouse	M	15	131	146	20	14
NVP	deermouse	M	80	90	170	20	15
NVP	deermouse	F	65	80	145	22	14
NVP	deermouse	F	72	20	92	20	13
NVP	deermouse	M	65	85	150	20	16
NVP	deermouse	F	75	95	170	21	12
NVP	deermouse	M	70	90	160	22	15
NVP	deermouse	F	65	90	155	20	14
NVP	deermouse	M	68	85	153	20	13
NVP	deermouse	M	70	85	155	20	14
NVP	deermouse	M	70	95	165	22	12
NVP	deermouse	M	77	100	177	20	15
NVP	deermouse	M	75	85	160	20	14
NVP	deermouse	F	65	100	165	18	12
NVP	deermouse	M	73	90	163	20	15
NVP	deermouse	F	64	70	134	16	10
NVP	deermouse	M	71	84	155	20	15
NVP	deermouse	M	75	92	167	20	14
NVP	deermouse	M	70	90	160	20	14
NVP	deermouse	M	80	95	175	21	15
NVP	deermouse	F	77	100	177	20	14
NVP	deermouse	F	65	90	155	20	14
NVP	deermouse	M	85	100	185	15	22
NVP	deermouse	M	61	85	146	19	15
NVP	deermouse	M	80	90	170	20	15
NVP	deermouse	F	75	85	160	21	14
NVP	deermouse	M	70	90	160	20	14
NVP	deermouse	M	65	90	155	20	14
NVP	deermouse	M	65	85	150	20	14
NVP	deermouse	M	65	85	150	22	14
NVP	deermouse	M	70	80	150	21	16
NVP	deermouse	M	65	83	148	21	15
NVP	deermouse	F	53	98	151	24	16
NVP	deermouse	M	74	90	164	20	15
NVP	deermouse	M	70	80	150	20	12
NVP	deermouse	F	70	93	163	20	14
NVP	deermouse	F	70	70	140	16	12
NVP	deermouse	M	70	90	160	20	10
NVP	deermouse	M	60	65	125	22	12
NVP	deermouse	F	75	85	160	21	17
NVP	deermouse	F	75	90	165	22	16
NVP	deermouse	F	67	78	145	21	15
NVP	deermouse	F	80	90	170	20	15
NVP	deermouse	F	68	82	150	20	13
NVP	deermouse	F	69	85	154	20	15
NVP	deermouse	M	73	85	158	24	13
NVP	deermouse	M	69	88	157	20	13
NVP	deermouse	M	71	95	166	21	15
NVP	deermouse	M	70	80	150	24	15
NVP	deermouse	F	80	105	185	22	15
NVP	deermouse	F	70	70	140	21	14
NVP	deermouse	M	55	65	120	19	13
NVP	deermouse	F	67	80	147	21	13
NVP	deermouse	M	75	89	164	21	15
NVP	deermouse	M	70	92	162	21	13
NVP	deermouse	F	65	80	145	21	12
NVP	deermouse	F	74	100	174	22	15
NVP	deermouse	M	85	100	185	20	14
NVP	deermouse	M	76	90	166	20	16
NVP	deermouse	M	70	90	160	20	15
NVP	deermouse	M	67	85	152	20	16
NVP	deermouse	M	73	86	159	22	14
NVP	deermouse	F	70	90	160	21	15
NVP	deermouse	M	70	86	156	20	11
NVP	deermouse	F	60	85	145	19	12
NVP	deermouse	M	53	72	125	18	12
NVP	deermouse	F	70	85	155	20	13
NVP	deermouse	M	71	89	160	20	15
NVP	deermouse	M	75	100	175	20	14
NVP	deermouse	F	74	80	154	22	13
NVP	deermouse	M	80	100	180	20	12
NVP	deermouse	F	66	85	151	20	15
NVP	deermouse	F	75	110	185	20	15
NVP	deermouse	F	95	100	195	21	15
NVP	deermouse	F	63	72	135	15	11
NVP	deermouse	M	71	92	163	21	15
NVP	deermouse	M	69	88	157	20	15
NVP	deermouse	M	77	95	172	21	14
NVP	deermouse	F	75	80	155	18	11
NVP	deermouse	F	59	70	129	20	13
NVP	deermouse	M	60	80	140	15	12
NVP	deermouse	F	65	80	145	20	15
NVP	deermouse	M	73	90	163	21	13
NVP	deermouse	M	22	103	125	20	11
NVP	deermouse	F	80	90	170	20	13
NVP	deermouse	F	70	80	150	21	10
NVP	deermouse	M	67	75	142	19	12
NVP	deermouse	F	70	90	160	20	14
NVP	deermouse	M	75	105	180	21	15
NVP	deermouse	M	70	90	160	20	15
NVP	deermouse	M	73	95	168	20	15
NVP	deermouse	F	70	85	155	22	12
NVP	deermouse	M	75	87	162	21	15
NVP	deermouse	M	77	95	172	25	12
NVP	deermouse	F	78	93	171	21	15
NVP	deermouse	M	75	110	185	13	20
NVP	deermouse	M	75	82	157	23	15
NVP	deermouse	M	80	90	170	22	12
NVP	deermouse	F	77	90	167	20	15
NVP	deermouse	M	68	81	149	21	15
NVP	deermouse	M	73	80	153	23	14
NVP	deermouse	M	74	93	167	21	15
NVP	deermouse	M	71	93	164	20	14
NVP	deermouse	M	80	85	165	20	12
NVP	deermouse	F	65	75	140	20	12
NVP	deermouse	M	69	72	141	18	11
NVP	deermouse	M	68	87	155	21	13
NVP	deermouse	M	63	85	148	20	15
NVP	deermouse	F	69	80	149	21	13
NVP	deermouse	F	72	92	164	21	15
NVP	deermouse	F	70	95	165	20	16
NVP	deermouse	M	75	100	175	20	15
NVP	deermouse	M	76	96	172	20	13
NVP	deermouse	M	60	70	130	20	11
NVP	deermouse	F	75	95	170	20	12
NVP	deermouse	M	70	90	160	21	13
NVP	deermouse	F	81	95	176	22	15
NVP	deermouse	M	63	65	128	19	13
NVP	deermouse	M	71	95	166	22	15
NVP	deermouse	F	80	90	170	20	10
NVP	deermouse	M	74	100	174	20	15
NVP	deermouse	F	70	90	160	20	15
NVP	deermouse	F	23	85	108	21	15
NVP	deermouse	M	71	88	159	21	13
NVP	deermouse	M	65	85	150	20	14
NVP	deermouse	F	70	93	163	22	15
NVP	deermouse	F	75	90	165	20	14
NVP	deermouse	F	80	95	175	21	15
NVP	deermouse	M	67	87	154	21	15
NVP	deermouse	M	68	80	148	20	13
NVP	deermouse	F	75	87	162	20	15
NVP	deermouse	F	75	98	173	21	16
NVP	deermouse	M	80	95	175	20	14
NVP	deermouse	M	70	87	157	21	13
NVP	deermouse	F	65	95	160	21	13
NVP	deermouse	M	30	100	130	15	10
NVP	deermouse	M	70	75	145	20	10
NVP	deermouse	M	64	78	142	19	12
NVP	deermouse	M	63	78	141	20	13
NVP	deermouse	M	70	80	150	20	12
NVP	deermouse	M	70	90	160	22	12
NVP	deermouse	M	65	85	150	21	13
NVP	deermouse	M	66	95	161	20	14
NVP	deermouse	M	70	80	150	20	14
NVP	deermouse	F	63	80	143	21	15
NVP	deermouse	F	74	95	169	20	15
NVP	deermouse	M	80	98	178	21	15
NVP	deermouse	M	75	95	170	21	15
NVP	deermouse	M	20	134	154	20	16
NVP	deermouse	M	69	97	166	20	14
NVP	deermouse	M	75	95	170	20	18
NVP	deermouse	M	80	90	170	21	12
NVP	deermouse	M	74	95	169	20	14
NVP	deermouse	M	64	92	156	21	15
NVP	deermouse	F	60	80	140	20	13
NVP	deermouse	F	63	84	147	20	14
NVP	deermouse	F	75	100	175	17	15
NVP	deermouse	M	75	85	160	23	13
NVP	deermouse	F	75	95	170	21	14
